"","V1","V1.6","V1.5","V1.4","V1.3","deploymentID","V1.2","speciesName","project","subproject","treatment","deploymentName","idType","sequenceID","beginTime","endTime","commonName","age","sex","individuallyIDentifiable","count","fuzzed","begin","end","beginDate","endDate","julianDay","year","month","quarter","actualDateOut","retrievalDate","plotName","plotTreatment","cameraFailureDetails","deploymentNotes","baitType","baitDescription","baitStatus","trails","feature","featureTypeMethodology","detectionDistance","trapNights","tdiff","dayOfDeployment","Binom","AmericanBeaverBinom","AmericanBlackBearBinom","AmericanMinkBinom","AmericanRedSquirrelBinom","AppalachianCottontailBinom","BobcatBinom","CoyoteBinom","DomesticCatBinom","DomesticDogBinom","EasternChipmunkBinom","EasternCottontailBinom","EasternFoxSquirrelBinom","EasternGraySquirrelBinom","EasternSpottedSkunkBinom","EasternWoodratBinom","ElkAkaRedDeerBinom","GreyFoxBinom","LongTailedWeaselBinom","MarshRabbitBinom","NineBandedArmadilloBinom","NorthAmericanOtterBinom","NorthernBobwhiteBinom","NorthernRaccoonBinom","RedFoxBinom","RedWolfBinom","RuffedGrouseBinom","SouthernFlyingSquirrelBinom","StripedSkunkBinom","SwampRabbitBinom","UnknownCanidBinom","UnknownFelidBinom","UnknownFlyingSquirrelBinom","UnknownRabbitHareBinom","UnknownSmallRodentBinom","UnknownSquirrelBinom","VirginiaOpossumBinom","WhiteTailedDeerBinom","WildBoarBinom","WildTurkeyBinom","WoodchuckBinom","V1.1","AmericanBeaver","AmericanBlackBear","AmericanMink","AmericanRedSquirrel","AppalachianCottontail","Bobcat","Coyote","DomesticCat","DomesticDog","EasternChipmunk","EasternCottontail","EasternFoxSquirrel","EasternGraySquirrel","EasternSpottedSkunk","EasternWoodrat","ElkAkaRedDeer","GreyFox","LongTailedWeasel","MarshRabbit","NineBandedArmadillo","NorthAmericanOtter","NorthernBobwhite","NorthernRaccoon","RedFox","RedWolf","RuffedGrouse","SouthernFlyingSquirrel","StripedSkunk","SwampRabbit","UnknownCanid","UnknownFelid","UnknownFlyingSquirrel","UnknownRabbitHare","UnknownSmallRodent","UnknownSquirrel","VirginiaOpossum","WhiteTailedDeer","WildBoar","WildTurkey","Woodchuck","avgPrecip","avgTemp","avgCloud","avgEVI","building100","building200","building300","building400","building500","building600","building700","building800","building900","building1000","distToBuilding","distToStream","streamLength1km","streamLength5km","distToRoad","actualLon","actualLat"
"11",11,11,11,11,11,"d21635",11,"Camera Trapper","North Carolina's Candid Critters Project","Chatham County","","Bermudez_E_Catham1","Researcher","d21635s1","16:49:04","16:49:05","Camera Trapper","error","error","error",1,FALSE,"2016-11-04 16:49:04","2016-11-04 16:49:05","2016-11-04","2016-11-04",309,2016,11,4,"2016-11-04","2016-11-23","Large Forest","","NULL","Data collection was 2 days short of 3 weeks due to camera malfunction.","No Bait","NULL","no bait","no trails","Not Entered","",11,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,52,0,0,0,3.77508590053982e-05,290.17192264732,25.4912700715793,0.418388546171278,0,0,0,0,0,0,3,4,9,12,603.048146816719,62.1262755854795,31.8499765853174,544.354711175175,637.321845190467,-79.1303416881927,35.7555787525325
"12",12,12,12,12,12,"d21650",12,"Camera Trapper","North Carolina's Candid Critters Project","Forsyth County","","Tuttle_M_Forsyth1","Researcher","d21650s1","19:15:15","19:15:26","Camera Trapper","error","error","error",2,FALSE,"2016-10-09 19:15:15","2016-10-09 19:15:26","2016-10-09","2016-10-09",283,2016,10,4,"2016-10-09","2016-11-06","Open","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",9.144,28,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,6.3914832969447e-05,289.853374696174,30.3324488400714,0.407323875727461,8,43,74,112,184,249,320,410,516,621,47.2209276993277,314.387566123711,140.336556148888,275.380349495095,11.8088814122222,-80.356671836761,36.1644487604896
"13",13,13,13,13,13,"d21652",13,"Camera Trapper","North Carolina's Candid Critters Project","Onslow County","","StonesCreekGL_Open_15","Researcher","d21652s1","09:14:24","09:14:51","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2016-12-31 09:11:58","2016-12-31 09:14:51","2016-12-31","2016-12-31",366,2016,12,4,"2016-12-05","2016-12-31","","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",3.556,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79580010983597e-05,291.76744402191,26.8876105610559,0.424179022790643,0,0,0,0,0,0,1,4,4,4,636.275574844261,392.74219181195,71.0805553618049,1295.50419437768,64.8731882721875,-77.4878431576049,34.5702592807789
"14",14,14,14,14,14,"d21653",14,"Camera Trapper","North Carolina's Candid Critters Project","Henderson County","DuPont State Recreational Forest","Cameron_A_Henderson1","Researcher","d21653s1","10:13:52","10:14:15","Camera Trapper","error","error","error",1,FALSE,"2016-10-28 10:13:52","2016-10-28 10:14:15","2016-10-28","2016-10-28",302,2016,10,4,"2016-10-28","2016-11-10","Large Forest","DuPont State Recreational Forest","NULL","Photo 7.jpg has an apparent Tufted Titmouse flying in front of the camera lens while it was taking pictures of a deer.

Photos 25.jpg - 74.jpg partially obscured by tree branch.","No Bait","NULL","no bait","no trails","Not Entered","",6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.57811584164721e-05,292.891057845585,22.0706645115396,0.417978305491979,0,0,0,0,0,0,0,0,0,0,1080.39364202788,158.728894335182,139.049810763402,11.3708571985347,11.0891282081518,-82.6059126204268,35.198687518265
"15",15,15,15,15,15,"d21654",15,"Camera Trapper","North Carolina's Candid Critters Project","Gates County","","ChowanSwampGL_Open_65","Researcher","d21654s32","12:58:58","12:59:16","Camera Trapper","error","error","error",1,FALSE,"2016-12-15 03:39:07","2016-12-22 12:59:16","2016-12-22","2016-12-22",357,2016,12,4,"2016-12-04","2016-12-22","","","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",12.5,18,13196,18,0,0,0,0,0,0,0,1,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0.000104192834591285,292.534430571353,37.5830002427029,0.412003059912773,0,0,0,0,1,1,8,21,59,117,483.390782297457,650.532132432437,994.513497502357,5560.67697109722,607.568676309368,-76.7434660956694,36.4082453292306
"16",16,16,16,16,16,"d21656",16,"Camera Trapper","North Carolina's Candid Critters Project","Catawba County","","Earls_K_Catawba1","Researcher","d21656s1","04:46:41","04:47:43","Camera Trapper","error","error","error",2,FALSE,"2015-11-15 04:46:41","2015-11-15 04:47:43","2015-11-15","2015-11-15",319,2015,11,4,"2015-11-14","2015-11-23","Large Forest","","NULL","I set the time 12hrs off sorry.. i didnt relize it was milatary time.","No Bait","NULL","no bait","no trails","Not Entered","",25,9,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1.96810382318127e-05,293.040619273648,28.6495033662174,0.398152561625671,13,36,72,110,141,161,171,192,219,234,7.38291104521957,381.673804479043,270.727433619194,35.2969389088068,28.8052583691076,-81.3242576731196,35.6462184978586
"17",17,17,17,17,17,"d21657",17,"Camera Trapper","North Carolina's Candid Critters Project","Catawba County","","Earls_K_Catawba2","Researcher","d21657s1","05:25:37","05:25:56","Camera Trapper","error","error","error",1,FALSE,"2016-11-15 05:25:37","2016-11-15 05:25:56","2016-11-15","2016-11-15",320,2016,11,4,"2016-11-15","2016-11-23","Large Forest","","NULL","I set the time 12hr off sorry....","No Bait","NULL","no bait","no trails","Not Entered","",15,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7.4723190401881e-05,290.855375727571,29.4666761013805,0.410249160319816,7,34,78,117,156,168,186,205,218,235,45.3885213216437,483.154180089117,270.727433619194,35.2969389088068,8.16910469681285,-81.3228678476582,35.6467785623271
"18",18,18,18,18,18,"d21660",18,"Camera Trapper","North Carolina's Candid Critters Project","Pitt County","Woods","Swift_D_Pitt1","Researcher","d21660s62","13:27:22","13:27:32","Camera Trapper","Unknown","Unknown","N",1,FALSE,"2016-12-25 09:18:22","2016-12-25 13:27:32","2016-12-25","2016-12-25",360,2016,12,4,"2016-12-04","2016-12-25","Yard","Woods","NULL","","No Bait","NULL","no bait","no trails","Water source/Spring","stream",0,21,19296,21,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,3.49191642649208e-05,291.54604983949,22.1674948205646,0.424564248624915,18,58,104,182,288,419,577,759,952,1147,24.9856624937815,165.604434081962,813.214500889089,877.303059701901,39.88873998507,-77.3400540390053,35.5750371123494
"19",19,19,19,19,19,"d21664",19,"Camera Trapper","North Carolina's Candid Critters Project","Forsyth County","Woods","Tuttle_M_Forsyth2","Researcher","d21664s1","18:32:57","18:33:01","Camera Trapper","error","error","error",1,FALSE,"2016-11-08 18:32:57","2016-11-08 18:33:01","2016-11-08","2016-11-08",313,2016,11,4,"2016-11-08","2016-11-27","Yard","Woods","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",13.9,19,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6.30431635535535e-05,292.510361307097,25.8149038361413,0.41724688457778,5,14,40,92,147,246,340,425,497,558,25.2463286473134,77.7894507740622,89.8007944803044,1079.97698542082,32.2195045579367,-80.2776285507958,36.1650340192201
"20",20,20,20,20,20,"d21762",20,"Camera Trapper","North Carolina's Candid Critters Project","Hofmann Forest","Forest","HofmannFor_7_13Nov16","Researcher","d21762s1","12:08:55","12:09:02","Camera Trapper","error","error","error",2,FALSE,"2016-11-13 12:08:55","2016-11-13 12:09:02","2016-11-13","2016-11-13",318,2016,11,4,"2016-11-13","2016-12-10","","Forest","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",8.5,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.37721798856664e-05,290.294553303015,28.8933497798688,0.417487545154055,0,0,0,0,0,0,0,0,0,0,3361.37949525902,2240.02042011094,0,1359.18321033461,3757.96685669438,-77.4172176364995,34.8692712156643
"21",21,21,21,21,21,"d21763",21,"Ursus americanus","North Carolina's Candid Critters Project","Hofmann Forest","Forest","HofmannFor_9_13Nov16","Researcher","d21763s10","08:10:51","08:10:53","American Black Bear","Unknown","Unknown","N",1,FALSE,"2016-11-14 03:18:21","2016-11-19 08:10:53","2016-11-19","2016-11-19",324,2016,11,4,"2016-11-13","2016-12-10","","Forest","NULL","","No Bait","NULL","no bait","no trails","Not Entered","",8.1,27,50241,6,0,0,7,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25841955223197e-05,289.489379713469,35.2869049336678,0.404587699696812,0,0,0,0,0,0,0,0,0,0,3324.87552547238,1593.69490387822,0,1350.63742662832,3633.7924810664,-77.4596348418426,34.975193911994
"22",22,22,22,22,22,"d21766",22,"Ursus americanus","North Carolina's Candid Critters Project","Hofmann Forest","Forest","HofmannFor_10_13Nov16","Researcher","d21766s10","00:33:47","00:33:52","American Black Bear","error","error","error",1,FALSE,"2016-11-13 23:40:46","2016-11-22 00:33:52","2016-11-22","2016-11-22",327,2016,11,4,"2016-11-13","2016-12-10","","Forest","NULL","NULL","No Bait","NULL","no bait","no trails","Not Entered","",9,27,20541,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3.01332149541034e-05,290.647317689004,31.7193394773929,0.404855155344815,0,0,0,0,0,0,0,0,0,0,3059.28349926249,4853.57209675102,0,162.240272159097,5429.34564829993,-77.415029841285,34.9915262065578
"23",23,23,23,23,23,"d21787",23,"Ursus americanus","North Carolina's Candid Critters Project","Hofmann Forest","","HofmannFor_4_Oct2016","Researcher","d21787s10","19:29:51","19:30:08","American Black Bear","Unknown","Unknown","N",1,FALSE,"2016-10-23 11:16:51","2016-11-05 19:30:08","2016-11-05","2016-11-05",310,2016,11,4,"2016-10-23","2016-11-13","","","NULL","","No Bait","NULL","no bait","no trails","Not Entered","",9,21,0,13,0,0,7,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1.47910179431233e-05,292.932720902467,28.2141587129711,0.41658473364692,0,0,0,0,0,0,0,0,0,0,2306.04743088731,5.76779202306631,1270.1129698986,1359.18321033461,2477.16821182245,-77.4578951894479,34.8757682286847
